K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,X?p lo?i h?c t?p
A,B,A,A,A,A,A,Gi?i
B,B,C,B,A,D,D,Khá
B,C,B,B,A,C,B,Khá
C,C,C,A,B,C,D,Khá
B,B,C,A,A,D,C,Khá
B,D,C,C,B,C,C,Khá
A,A,A,A,A,B,A,Gi?i
B,D,B,B,A,C,D,Khá
C,C,C,B,C,B,B,Khá
A,C,B,A,B,A,B,Gi?i
B,A,A,A,A,C,D,Gi?i
C,D,C,B,A,B,D,Khá
B,C,D,A,C,C,D,Khá
A,B,C,D,B,D,D,Khá
B,C,C,A,A,B,C,Khá
B,A,C,B,A,B,B,Khá
A,A,B,A,A,A,C,Gi?i
A,B,A,C,A,B,A,Gi?i
B,C,B,C,C,C,A,Khá
B,C,B,C,B,D,B,Khá
B,B,B,D,B,B,C,Gi?i
B,C,C,A,A,D,C,Khá
C,B,A,A,C,A,A,Gi?i
B,B,A,B,A,B,C,Gi?i
B,D,C,C,D,D,A,Khá
B,D,C,B,A,D,B,Khá
C,C,C,B,C,D,D,Khá
A,A,C,A,A,C,C,Xu?t s?c
B,C,D,A,D,D,B,Khá
C,B,B,A,A,B,A,Gi?i
C,A,A,A,C,B,A,Khá
A,C,A,A,A,A,C,Gi?i
B,C,C,A,B,B,A,Gi?i
B,C,D,D,A,A,D,Khá
B,B,B,B,B,C,B,Gi?i
B,A,A,A,A,B,A,Gi?i
B,B,B,A,A,B,A,Gi?i
D,B,A,A,A,B,A,Khá
B,B,B,B,C,B,C,Khá
B,C,C,B,B,B,B,Khá
A,A,A,A,A,A,A,Xu?t s?c
A,D,C,A,C,D,D,Khá
C,D,A,B,C,B,D,Khá
C,C,D,B,C,D,D,Khá
C,C,D,A,A,D,A,Khá
B,A,B,A,A,B,A,Xu?t s?c
A,D,A,A,A,C,B,Gi?i
C,A,B,A,B,A,A,Gi?i
B,A,C,A,C,B,C,Khá
B,A,D,C,C,C,C,Khá
B,D,B,A,C,C,D,Khá
C,C,B,B,B,D,D,Gi?i
B,D,D,C,A,D,C,Khá
C,D,C,B,A,B,D,Khá
B,C,C,B,A,A,C,Khá
C,A,B,A,A,B,A,Khá
A,A,A,A,A,A,A,Xu?t s?c
A,B,B,C,B,A,C,Khá
C,A,D,A,B,B,C,Khá
D,D,C,D,D,B,D,Trung bình
B,C,D,A,B,A,D,Khá
B,D,C,D,B,B,D,Khá
B,A,B,A,A,A,A,Gi?i
D,C,C,C,A,B,A,Khá
C,B,A,D,B,A,C,Khá
D,A,B,C,A,A,A,Gi?i
D,A,C,A,B,A,B,Khá
B,A,A,B,A,B,A,Gi?i
A,C,B,A,A,A,A,Gi?i
D,B,C,C,D,A,B,Khá
D,A,A,B,A,B,A,Gi?i
B,B,A,A,A,A,A,Xu?t s?c
C,B,B,B,B,B,D,Khá
B,D,D,B,C,C,B,Khá
D,C,A,D,C,B,A,Khá
A,B,C,A,B,A,A,Gi?i
C,D,D,C,C,B,D,Khá
B,B,A,C,B,A,A,Khá
C,A,A,A,A,A,A,Gi?i
C,D,D,D,B,A,C,Khá
C,A,B,C,A,B,C,Khá
B,A,C,A,A,A,A,Gi?i
C,B,D,B,C,C,B,Khá
B,D,C,A,A,B,C,Khá
C,B,C,C,A,D,B,Khá
B,A,B,B,A,A,B,Khá
C,C,C,A,A,C,A,Khá
C,B,B,B,B,A,A,Gi?i
B,B,C,B,A,A,A,Gi?i
B,C,A,C,A,A,B,Khá
C,D,C,D,C,D,C,Trung bình
C,D,D,C,D,C,C,Khá
D,B,C,A,C,A,A,Gi?i
B,A,C,D,A,B,B,Gi?i
A,B,B,B,B,B,A,Gi?i
A,B,C,B,A,B,C,Khá
B,A,C,B,A,C,A,Gi?i
B,D,C,D,B,D,C,Khá
B,D,A,A,B,A,C,Khá
C,A,B,A,B,A,A,Gi?i
B,B,B,A,C,C,A,Khá
C,C,C,C,B,D,A,Khá
B,A,C,B,C,C,B,Khá
B,B,B,B,B,A,B,Gi?i
B,C,C,C,D,D,C,Khá
A,B,C,B,B,C,B,Gi?i
C,B,B,C,B,C,C,Gi?i
A,A,A,B,A,A,A,Xu?t s?c
B,B,C,B,C,B,C,Khá
D,C,D,A,C,B,C,Khá
C,D,D,A,C,C,D,Khá
C,C,B,C,C,B,C,Khá
C,B,C,B,B,C,C,Gi?i
A,A,A,C,A,A,A,Gi?i
B,B,B,C,A,A,A,Gi?i
D,C,B,C,B,B,A,Khá
B,B,A,C,A,A,C,Gi?i
C,C,C,B,B,A,A,Khá
B,B,D,C,C,B,D,Khá
B,A,B,D,B,B,C,Khá
B,B,B,C,B,A,A,Gi?i
B,D,C,A,C,A,A,Gi?i
B,B,B,B,A,A,A,Gi?i
B,B,C,A,A,B,A,Gi?i
B,C,B,C,A,A,B,Gi?i
A,A,A,A,A,A,A,Xu?t s?c
B,C,C,D,B,C,D,Khá
C,C,C,C,C,C,A,Khá
D,B,B,B,A,A,A,Gi?i
C,D,C,B,A,C,B,Khá
A,B,C,A,A,A,A,Gi?i
C,D,D,C,D,D,C,Khá
B,D,C,D,B,B,B,Trung bình
B,B,C,C,C,C,A,Khá
C,C,A,C,B,D,D,Khá
B,B,D,B,B,C,D,Khá
A,B,B,A,A,A,C,Khá
B,A,A,C,A,A,C,Gi?i
A,B,C,C,C,B,D,Khá
B,A,A,A,A,A,A,Xu?t s?c
B,A,B,A,A,B,A,Xu?t s?c
C,D,C,C,B,D,D,Khá
B,A,A,C,A,A,A,Gi?i
B,C,B,A,A,A,B,Gi?i
A,A,C,A,A,C,A,Gi?i
B,D,B,B,B,C,B,Khá
B,B,B,B,A,B,A,Gi?i
A,B,A,B,B,D,C,Gi?i
B,D,D,D,B,B,D,Khá
B,C,C,B,C,A,B,Khá
C,C,C,C,D,C,C,Khá
A,C,B,A,C,C,A,Gi?i
A,B,B,C,A,D,A,Gi?i
C,D,A,B,C,C,C,Khá
A,C,A,A,B,A,A,Gi?i
A,A,A,A,B,A,A,Xu?t s?c
A,B,C,A,C,B,A,Gi?i
A,A,A,A,A,A,A,Xu?t s?c
D,B,B,D,B,C,B,Khá
A,A,B,A,A,B,B,Xu?t s?c
C,D,D,C,B,C,D,Khá
B,C,D,C,B,C,D,Khá
B,C,B,C,A,C,B,Khá
B,A,A,A,A,A,A,Gi?i
B,C,A,B,C,C,B,Khá
C,C,A,C,A,A,A,Khá
A,D,D,A,B,B,A,Gi?i
A,B,B,D,C,A,A,Khá
B,B,A,A,C,A,A,Xu?t s?c
C,C,D,C,D,D,D,Khá
B,C,C,A,B,C,D,Khá
B,B,B,C,C,C,C,Khá
B,A,A,A,A,A,A,Gi?i
C,D,D,C,D,D,D,Khá
B,A,A,A,A,A,A,Xu?t s?c
B,C,C,A,C,B,B,Khá
B,C,C,C,D,B,D,Khá
A,B,C,D,C,D,C,Khá
C,C,A,D,B,B,C,Khá
B,B,B,A,B,B,B,Khá
A,A,B,B,B,C,B,Khá
B,A,A,B,B,C,C,Khá
C,D,B,D,C,B,D,Khá
A,A,A,A,A,A,D,Gi?i
B,A,B,A,A,A,B,Gi?i
A,A,A,C,A,A,C,Gi?i
B,C,A,C,C,C,C,Khá
B,B,B,B,A,B,D,Gi?i
C,C,D,D,A,B,C,Khá
B,A,B,B,A,A,A,Xu?t s?c
B,C,B,B,A,A,C,Gi?i
B,C,D,A,C,B,A,Khá
B,A,B,A,A,A,C,Gi?i
C,C,A,A,A,A,C,Gi?i
C,B,C,A,A,A,B,Khá
D,D,B,D,C,B,D,Trung bình
C,C,C,B,C,A,A,Khá
D,B,A,B,A,A,A,Xu?t s?c
C,B,B,C,A,A,B,Gi?i
B,B,A,A,B,A,D,Gi?i
B,C,C,A,C,A,B,Khá
C,C,C,B,C,B,B,Khá
D,A,A,B,A,A,A,Gi?i
C,C,C,B,A,A,A,Gi?i
B,B,B,A,C,A,A,Khá
B,B,B,A,C,C,B,Khá
A,B,B,A,A,A,A,Gi?i
B,B,B,C,A,A,C,Khá
B,C,C,C,A,A,D,Khá
C,C,A,A,A,A,B,Gi?i
B,B,B,A,B,D,B,Gi?i
C,C,B,D,C,B,B,Khá
B,B,B,B,C,B,B,Khá
C,C,C,C,A,A,D,Khá
B,C,D,A,B,C,D,Khá
B,A,A,A,A,A,B,Khá
C,C,C,A,B,B,B,Khá
B,D,C,A,A,A,D,Khá
A,A,A,A,B,B,A,Gi?i
A,B,C,A,B,A,D,Gi?i
B,B,B,D,C,A,A,Khá
B,B,B,A,C,B,C,Khá
B,C,B,B,A,B,C,Khá
B,C,B,B,A,A,A,Khá
A,A,C,A,B,A,A,Gi?i
B,D,B,A,C,A,D,Khá
B,B,B,C,B,B,A,Khá
B,A,B,A,A,B,D,Gi?i
B,C,D,A,C,C,C,Khá
B,A,B,A,B,B,A,Gi?i
B,D,D,D,C,C,C,Khá
C,B,C,D,A,A,C,Khá
B,A,B,C,B,B,B,Gi?i
C,A,C,B,C,A,A,Khá
C,C,B,B,B,B,C,Khá
D,B,B,C,A,A,A,Khá
B,C,B,D,C,D,B,Khá
B,A,A,D,A,A,B,Gi?i
B,A,A,A,A,A,A,Gi?i
C,A,C,D,B,B,D,Khá
A,C,B,B,C,C,A,Gi?i
B,A,A,C,B,A,D,Khá
B,B,B,A,B,A,B,Khá
C,A,A,A,A,A,D,Gi?i
B,A,A,B,A,A,A,Gi?i
C,B,C,B,B,C,A,Khá
A,D,D,B,A,C,B,Khá
C,A,B,D,A,C,C,Khá
C,C,D,A,C,D,C,Khá
B,C,B,D,C,B,D,Khá
A,A,A,A,A,A,A,Gi?i
C,C,B,A,B,B,A,Khá
D,B,D,C,C,B,B,Khá
B,A,A,B,B,A,B,Gi?i
A,A,A,B,A,A,B,Gi?i
C,D,C,D,B,B,C,Khá
D,D,C,D,C,B,C,Khá
B,C,C,D,C,B,D,Trung bình
A,D,C,D,D,D,D,Trung bình
B,B,B,C,B,B,D,Khá
A,B,B,A,A,C,A,Gi?i
C,C,D,A,B,B,D,Khá
A,A,A,A,A,A,C,Gi?i
B,B,B,B,B,A,A,Khá
C,A,A,A,C,A,A,Gi?i
B,A,C,C,B,B,D,Khá
C,A,B,D,A,A,B,Khá
B,D,D,A,B,C,C,Khá
B,B,A,A,B,A,B,Gi?i
B,A,A,B,A,A,B,Khá
B,D,C,C,C,C,D,Khá
D,C,C,A,D,B,C,Ch?a X?p Lo?i
B,C,C,B,B,C,D,Ch?a X?p Lo?i
D,D,C,D,C,C,C,Ch?a X?p Lo?i
D,C,D,D,A,C,D,Ch?a X?p Lo?i
D,C,B,B,C,D,B,Ch?a X?p Lo?i
C,C,B,C,B,D,D,Ch?a X?p Lo?i
D,C,C,D,D,D,B,Ch?a X?p Lo?i
C,D,C,C,B,C,C,Ch?a X?p Lo?i
D,A,D,D,D,C,B,Ch?a X?p Lo?i
C,D,C,C,D,B,B,Ch?a X?p Lo?i
C,C,B,B,D,A,B,Ch?a X?p Lo?i
D,D,C,D,C,C,D,Ch?a X?p Lo?i
C,C,C,A,F,D,D,Ch?a X?p Lo?i
D,C,B,C,B,C,C,Ch?a X?p Lo?i
D,C,C,D,D,C,D,Ch?a X?p Lo?i
D,C,B,C,B,B,C,Ch?a X?p Lo?i
D,B,D,C,C,D,D,Ch?a X?p Lo?i
C,D,B,B,D,D,C,Ch?a X?p Lo?i
D,D,D,C,D,D,B,Ch?a X?p Lo?i
D,A,D,D,C,C,B,Ch?a X?p Lo?i
C,C,B,A,C,A,B,Ch?a X?p Lo?i
D,B,C,A,D,B,A,Ch?a X?p Lo?i
D,0,0,C,F,0.3,D,Ch?a X?p Lo?i
D,C,D,C,D,D,C,Ch?a X?p Lo?i
D,C,C,C,A,C,B,Ch?a X?p Lo?i
B,C,C,A,A,A,B,Ch?a X?p Lo?i
C,D,A,A,C,C,C,Ch?a X?p Lo?i
C,D,D,D,B,C,C,Ch?a X?p Lo?i
D,D,B,A,B,A,A,Ch?a X?p Lo?i
C,C,C,B,B,C,A,Ch?a X?p Lo?i
C,F,D,D,A,D,D,Ch?a X?p Lo?i
C,D,D,B,D,B,D,Ch?a X?p Lo?i
C,B,B,D,B,C,D,Ch?a X?p Lo?i
C,D,C,C,A,D,D,Ch?a X?p Lo?i
C,D,C,B,D,C,D,Ch?a X?p Lo?i
D,D,B,B,A,C,C,Ch?a X?p Lo?i
B,C,F,C,D,F,F,Ch?a X?p Lo?i
B,B,C,B,D,B,A,Ch?a X?p Lo?i
D,C,C,C,C,C,B,Ch?a X?p Lo?i
B,C,C,D,C,D,D,Ch?a X?p Lo?i
D,C,C,B,D,C,B,Ch?a X?p Lo?i
B,C,B,B,C,B,C,Ch?a X?p Lo?i
D,C,B,B,C,C,C,Ch?a X?p Lo?i
B,D,C,B,C,B,D,Ch?a X?p Lo?i
B,D,F,C,F,F,F,Ch?a X?p Lo?i
B,C,B,A,B,C,C,Ch?a X?p Lo?i
B,B,C,C,A,A,D,Ch?a X?p Lo?i
B,A,C,B,D,D,C,Ch?a X?p Lo?i
B,A,C,C,D,C,D,Ch?a X?p Lo?i
A,D,C,B,C,C,C,Ch?a X?p Lo?i
C,C,D,B,D,C,D,Ch?a X?p Lo?i
C,B,C,C,F,C,C,Ch?a X?p Lo?i
B,C,C,B,C,C,D,Ch?a X?p Lo?i
C,C,C,A,C,D,D,Ch?a X?p Lo?i
B,C,B,B,B,B,B,Ch?a X?p Lo?i
A,B,B,B,B,A,D,Ch?a X?p Lo?i
B,C,D,B,B,B,F,Ch?a X?p Lo?i
C,D,F,B,C,D,F,Ch?a X?p Lo?i
B,D,D,B,C,D,C,Ch?a X?p Lo?i
B,A,B,C,A,C,D,Ch?a X?p Lo?i
B,B,D,A,C,C,A,Ch?a X?p Lo?i
C,B,D,C,D,C,D,Ch?a X?p Lo?i
B,B,B,A,D,C,D,Ch?a X?p Lo?i
B,C,D,C,D,C,D,Ch?a X?p Lo?i
D,A,B,A,B,A,A,Ch?a X?p Lo?i
A,B,B,B,B,C,B,Ch?a X?p Lo?i
B,D,D,D,D,C,D,Ch?a X?p Lo?i
C,D,D,D,D,D,F,Ch?a X?p Lo?i
D,C,D,D,C,D,C,Ch?a X?p Lo?i
B,C,B,C,B,B,D,Ch?a X?p Lo?i
B,D,C,B,D,C,D,Ch?a X?p Lo?i
B,D,C,A,C,C,D,Ch?a X?p Lo?i
A,C,C,B,B,B,B,Ch?a X?p Lo?i
A,D,C,B,C,D,C,Ch?a X?p Lo?i
B,D,C,C,D,D,A,Ch?a X?p Lo?i
B,D,C,D,D,C,B,Ch?a X?p Lo?i
D,C,C,A,B,C,B,Ch?a X?p Lo?i
D,D,D,C,C,D,B,Ch?a X?p Lo?i
B,A,C,B,B,B,D,Ch?a X?p Lo?i
C,D,D,B,C,C,C,Ch?a X?p Lo?i
B,D,C,A,A,C,A,Ch?a X?p Lo?i
B,D,C,A,C,C,D,Ch?a X?p Lo?i
B,B,A,B,C,A,D,Ch?a X?p Lo?i
B,D,B,A,B,C,C,Ch?a X?p Lo?i
C,A,B,A,A,A,A,Ch?a X?p Lo?i
C,C,A,A,B,B,D,Ch?a X?p Lo?i
A,C,A,A,A,A,C,Ch?a X?p Lo?i
B,B,D,C,C,D,D,Ch?a X?p Lo?i
B,D,A,A,C,C,D,Ch?a X?p Lo?i
B,B,C,B,C,B,D,Ch?a X?p Lo?i
D,C,C,B,C,A,A,Ch?a X?p Lo?i
D,A,A,B,B,A,B,Ch?a X?p Lo?i
C,C,D,A,B,B,C,Ch?a X?p Lo?i
B,D,D,C,B,C,C,Ch?a X?p Lo?i
C,D,D,B,D,D,B,Ch?a X?p Lo?i
B,D,D,B,C,D,D,Ch?a X?p Lo?i
B,B,A,B,A,A,C,Ch?a X?p Lo?i
B,B,D,B,A,B,C,Ch?a X?p Lo?i
C,D,F,C,F,B,C,Ch?a X?p Lo?i
C,C,D,B,C,D,D,Ch?a X?p Lo?i
C,B,A,B,B,A,B,Ch?a X?p Lo?i
B,C,B,A,A,A,D,Ch?a X?p Lo?i
C,C,C,C,B,C,B,Ch?a X?p Lo?i
B,C,B,A,C,A,B,Ch?a X?p Lo?i
D,D,B,F,D,C,F,Ch?a X?p Lo?i
C,D,C,B,A,C,D,Ch?a X?p Lo?i
A,D,A,A,A,C,B,Ch?a X?p Lo?i
C,C,C,C,D,C,F,Ch?a X?p Lo?i
F,F,F,D,D,D,F,Ch?a X?p Lo?i
A,B,C,A,B,B,D,Ch?a X?p Lo?i
B,C,A,C,C,B,B,Ch?a X?p Lo?i
C,B,B,B,B,B,C,Ch?a X?p Lo?i
C,B,B,B,A,C,B,Ch?a X?p Lo?i
C,D,B,D,B,C,D,Ch?a X?p Lo?i
C,C,B,B,C,B,D,Ch?a X?p Lo?i
B,C,D,B,C,C,D,Ch?a X?p Lo?i
C,C,A,A,D,D,D,Ch?a X?p Lo?i
B,A,B,A,A,C,B,Ch?a X?p Lo?i
B,C,B,B,B,A,A,Ch?a X?p Lo?i
B,A,B,C,0,A,B,Ch?a X?p Lo?i
B,C,A,D,A,A,D,Ch?a X?p Lo?i
C,B,A,C,D,D,D,Ch?a X?p Lo?i
D,D,F,C,C,D,D,Ch?a X?p Lo?i
B,D,B,D,C,C,A,Ch?a X?p Lo?i
B,B,A,B,B,B,D,Ch?a X?p Lo?i
C,D,B,D,C,B,D,Ch?a X?p Lo?i
C,C,C,B,B,D,C,Ch?a X?p Lo?i
B,D,C,D,A,D,C,Ch?a X?p Lo?i
B,B,D,D,C,D,D,Ch?a X?p Lo?i
C,F,C,B,D,C,C,Ch?a X?p Lo?i
B,B,D,D,B,D,C,Ch?a X?p Lo?i
C,C,C,C,B,B,D,Ch?a X?p Lo?i
C,F,D,C,D,C,F,Ch?a X?p Lo?i
B,B,A,A,A,B,D,Ch?a X?p Lo?i
B,C,D,B,A,A,C,Ch?a X?p Lo?i
B,B,C,A,A,B,A,Ch?a X?p Lo?i
D,D,F,B,C,F,F,Ch?a X?p Lo?i
C,B,A,B,A,A,D,Ch?a X?p Lo?i
D,D,B,D,C,B,D,Ch?a X?p Lo?i
A,D,D,A,C,B,C,Ch?a X?p Lo?i
B,C,C,B,A,B,B,Ch?a X?p Lo?i
B,D,B,B,C,A,B,Ch?a X?p Lo?i
B,A,B,A,A,A,C,Ch?a X?p Lo?i
C,D,D,D,B,C,D,Ch?a X?p Lo?i
C,B,C,A,C,A,B,Ch?a X?p Lo?i
C,D,D,C,B,C,C,Ch?a X?p Lo?i
B,C,C,C,A,A,D,Ch?a X?p Lo?i
B,D,B,C,B,A,C,Ch?a X?p Lo?i
C,C,C,C,A,A,D,Ch?a X?p Lo?i
C,C,C,C,D,A,F,Ch?a X?p Lo?i
B,D,B,C,A,C,D,Ch?a X?p Lo?i
C,D,C,B,B,C,C,Ch?a X?p Lo?i
B,C,C,C,D,B,F,Ch?a X?p Lo?i
C,C,D,B,C,A,F,Ch?a X?p Lo?i
B,C,C,A,C,B,B,Ch?a X?p Lo?i
C,C,D,B,A,C,D,Ch?a X?p Lo?i
B,B,B,C,B,B,A,Ch?a X?p Lo?i
B,A,B,C,B,A,C,Ch?a X?p Lo?i
C,A,B,A,C,C,A,Ch?a X?p Lo?i
B,C,D,A,C,C,C,Ch?a X?p Lo?i
B,C,B,C,B,D,A,Ch?a X?p Lo?i
C,D,B,F,C,C,D,Ch?a X?p Lo?i
B,A,B,C,B,A,D,Ch?a X?p Lo?i
B,D,C,D,C,D,C,Ch?a X?p Lo?i
B,D,D,F,B,B,D,Ch?a X?p Lo?i
B,C,B,D,C,D,B,Ch?a X?p Lo?i
B,B,B,A,B,B,C,Ch?a X?p Lo?i
B,B,B,C,A,A,D,Ch?a X?p Lo?i
C,C,B,A,B,B,A,Ch?a X?p Lo?i
B,B,C,D,B,D,B,Ch?a X?p Lo?i
D,D,C,D,C,B,C,Ch?a X?p Lo?i
A,D,C,D,D,D,D,Ch?a X?p Lo?i
C,C,C,B,D,C,B,Ch?a X?p Lo?i
C,B,C,B,B,B,C,Ch?a X?p Lo?i
C,D,D,D,C,C,B,Ch?a X?p Lo?i
B,C,B,C,B,C,D,Ch?a X?p Lo?i
C,D,B,D,D,C,D,Ch?a X?p Lo?i
D,C,D,D,C,D,F,Ch?a X?p Lo?i
B,D,C,F,B,D,C,Ch?a X?p Lo?i
C,C,B,C,C,A,A,Ch?a X?p Lo?i
A,B,B,C,B,A,C,Ch?a X?p Lo?i
C,A,D,A,B,B,C,Ch?a X?p Lo?i
B,C,D,A,B,A,D,Ch?a X?p Lo?i
B,C,C,C,C,B,C,Ch?a X?p Lo?i
B,D,C,B,B,D,D,Ch?a X?p Lo?i
D,D,C,D,A,D,C,Ch?a X?p Lo?i
B,B,B,A,A,A,A,Ch?a X?p Lo?i
D,A,C,A,B,A,B,Ch?a X?p Lo?i
B,B,B,B,B,B,B,Ch?a X?p Lo?i
B,D,D,F,C,A,D,Ch?a X?p Lo?i
D,B,C,C,D,A,B,Ch?a X?p Lo?i
C,B,D,D,C,C,D,Ch?a X?p Lo?i
C,C,B,D,C,B,D,Ch?a X?p Lo?i
C,B,C,B,A,A,C,Ch?a X?p Lo?i
C,B,B,B,B,B,D,Ch?a X?p Lo?i
A,C,C,D,F,D,C,Ch?a X?p Lo?i
C,C,C,D,C,C,D,Ch?a X?p Lo?i
